Region;Contagiados con Atraso;Contagiados;Muertes;Muertes_DEIS;Recuperados;Infectados_Actuales;UCI;Fecha;Total_Contagiados
Prov_Arauco;1103;1103;;34;;;;8/21/2020;
Prov_Concepción;10754;10754;;225;;;;8/22/2020;
Prov_Biobío;3149;3149;;62;;;;8/22/2020;
Prov_Arauco;1123;1123;;34;;;;8/22/2020;
Prov_Concepción;10949;10949;;230;;;;8/23/2020;
Prov_Biobío;3173;3173;;63;;;;8/23/2020;
Prov_Arauco;1152;1152;;35;;;;8/23/2020;
Prov_Concepción;11071;11071;;234;;;;8/24/2020;
Prov_Biobío;3177;3177;;63;;;;8/24/2020;
Prov_Arauco;1171;1171;;36;;;;8/24/2020;
Prov_Concepción;11197;11197;;239;;;;8/25/2020;
Prov_Biobío;3187;3187;;64;;;;8/25/2020;
Prov_Arauco;1179;1179;;37;;;;8/25/2020;
Prov_Concepción;11464;11464;;241;;;;8/26/2020;
Prov_Biobío;3223;3223;;64;;;;8/26/2020;
Prov_Arauco;1203;1203;;37;;;;8/26/2020;
Prov_Concepción;11667;11667;;247;;;;8/27/2020;
Prov_Biobío;3255;3255;;65;;;;8/27/2020;
Prov_Arauco;1209;1209;;38;;;;8/27/2020;
Prov_Concepción;11954;11954;;250;;;;8/28/2020;
Prov_Biobío;3302;3302;;65;;;;8/28/2020;
Prov_Arauco;1234;1234;;38;;;;8/28/2020;
Prov_Concepción;12122;12122;;254;;;;8/29/2020;
Prov_Biobío;3344;3344;;65;;;;8/29/2020;
Prov_Arauco;1250;1250;;38;;;;8/29/2020;
Prov_Concepción;12323;12323;;263;;;;8/30/2020;
Prov_Biobío;3376;3376;;65;;;;8/30/2020;
Prov_Arauco;1266;1266;;39;;;;8/30/2020;
Prov_Concepción;12449;12449;;270;;;;8/31/2020;
Prov_Biobío;3395;3395;;65;;;;8/31/2020;
Prov_Arauco;1280;1280;;40;;;;8/31/2020;
Prov_Concepción;12563;12563;;275;;;;9/1/2020;
Prov_Biobío;3411;3411;;66;;;;9/1/2020;
Prov_Arauco;1304;1304;;40;;;;9/1/2020;
Prov_Concepción;12774;12774;;275;;;;9/2/2020;
Prov_Biobío;3441;3441;;67;;;;9/2/2020;
Prov_Arauco;1315;1315;;40;;;;9/2/2020;
Prov_Concepción;13025;13025;;283;;;;9/3/2020;
Prov_Biobío;3463;3463;;68;;;;9/3/2020;
Prov_Arauco;1340;1340;;40;;;;9/3/2020;
Prov_Concepción;13218;13218;;288;;;;9/4/2020;
Prov_Biobío;3496;3496;;68;;;;9/4/2020;
Prov_Arauco;1354;1354;;40;;;;9/4/2020;
Prov_Concepción;13437;13437;;290;;;;9/5/2020;
Prov_Biobío;3534;3534;;68;;;;9/5/2020;
Prov_Arauco;1391;1391;;40;;;;9/5/2020;
Prov_Concepción;13587;13587;;296;;;;9/6/2020;
Prov_Biobío;3579;3579;;70;;;;9/6/2020;
Prov_Arauco;1410;1410;;40;;;;9/6/2020;
Prov_Concepción;13706;13706;;297;;;;9/7/2020;
Prov_Biobío;3599;3599;;70;;;;9/7/2020;
Prov_Arauco;1421;1421;;42;;;;9/7/2020;
Prov_Concepción;13824;13824;;301;;;;9/8/2020;
Prov_Biobío;3620;3620;;70;;;;9/8/2020;
Prov_Arauco;1448;1448;;43;;;;9/8/2020;
Prov_Concepción;14015;14015;;305;;;;9/9/2020;
Prov_Biobío;3640;3640;;70;;;;9/9/2020;
Prov_Arauco;1480;1480;;43;;;;9/9/2020;
